"filename", "language", "Dart", "Markdown", "Swift", "JSON", "XML", "C++", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\build\entrypoint\build.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\flutter_build\6b27e4875bfef885b9155e175de312ea\outputs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\flutter_build\96332a9d7b75c70a0f0c8e9138265f3c\outputs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\flutter_build\eef5dccc1cb293777b6cb12a7903794b\outputs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\flutter_build\f9e04462d4fe9cf052499bf779d6c2ea\outputs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\danil\Desktop\mobile_app_poc\.dart_tool\flutter_build\generated_main.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 94
"c:\Users\danil\Desktop\mobile_app_poc\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\danil\Desktop\mobile_app_poc\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 23, 4, 30
"c:\Users\danil\Desktop\mobile_app_poc\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 53, 0, 3, 13, 69
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 1, 35
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\danil\Desktop\mobile_app_poc\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
